# Log de autoscaling - ms-kpis - 2026-07-02T22:26:38Z
timestamp,desiredCount,runningCount
2026-07-02T22:26:38Z,2,1
2026-07-02T22:26:55Z,2,1
2026-07-02T22:27:12Z,2,2
2026-07-02T22:27:29Z,2,2
2026-07-02T22:27:47Z,2,2
2026-07-02T22:28:04Z,2,2
2026-07-02T22:28:21Z,2,2
2026-07-02T22:28:38Z,2,2
2026-07-02T22:28:55Z,2,2
2026-07-02T22:29:12Z,2,2
2026-07-02T22:29:29Z,2,2
2026-07-02T22:29:46Z,2,2
2026-07-02T22:30:04Z,2,2
2026-07-02T22:30:21Z,2,2
2026-07-02T22:30:38Z,2,2
2026-07-02T22:30:55Z,2,2
2026-07-02T22:31:12Z,2,3
2026-07-02T22:31:29Z,2,3
2026-07-02T22:31:46Z,2,3
2026-07-02T22:32:03Z,2,3
2026-07-02T22:32:20Z,4,3
2026-07-02T22:32:37Z,4,3
2026-07-02T22:32:54Z,4,3
2026-07-02T22:33:11Z,4,3
2026-07-02T22:33:28Z,4,3
2026-07-02T22:33:45Z,4,3
2026-07-02T22:34:02Z,4,3
2026-07-02T22:34:19Z,4,3
2026-07-02T22:34:36Z,4,3
2026-07-02T22:34:54Z,4,3
2026-07-02T22:35:11Z,1,1
2026-07-02T22:35:28Z,1,2
